eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/std,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
10.8,-6.9333732,100,,,,,,,,,,,,,,,,
9.3,-5.9459892,200,,,,,,,,,,,,,,,,
9.4,-4.4893059,300,,,,,,,,,,,,,,,,
5.4,-2.1215672999999997,400,,,,,,,,,,,,,,,,
6.1,-3.0333692,500,,,,,,,,,,,,,,,,
8.8,-5.011361,600,,,,,,,,,,,,,,,,
6.7,-2.5003721000000003,700,,,,,,,,,,,,,,,,
8.4,-5.0846084,800,,,,,,,,,,,,,,,,
10.1,-6.1364991,900,,,,,,,,,,,,,,,,
7.8,-4.9750429,1000,,,,,,,,,,,,,,,,
9.3,-5.3452156,1100,,,,,,,,,,,,,,,,
9.0,-5.2325429,1200,,,,,,,,,,,,,,,,
10.2,-6.681248399999999,1300,,,,,,,,,,,,,,,,
11.2,-5.5270744,1400,,,,,,,,,,,,,,,,
8.4,-5.7387252,1500,,,,,,,,,,,,,,,,
12.2,-7.841416699999999,1600,,,,,,,,,,,,,,,,
10.0,-4.8169442,1700,,,,,,,,,,,,,,,,
6.6,-3.3461188,1800,,,,,,,,,,,,,,,,
7.9,-4.610770499999999,1900,,,,,,,,,,,,,,,,
7.6,-3.8266724000000005,2000,,,,,,,,,,,,,,,,
,,2048,8.21,6,1,-4.905797320000001,329,,,,,,,,,,,
11.4,-7.530551099999999,2100,,,,,,7.447320061922073,10,0.0003,0.2,0.9521466493606567,2.882824659347534,-4.185274448990822,0.021981105,-0.03988575949915685,-0.021565914154052734,0.202294921875
9.1,-5.216402400000001,2200,,,,,,,,,,,,,,,,
6.9,-4.0374151,2300,,,,,,,,,,,,,,,,
9.2,-5.2363029,2400,,,,,,,,,,,,,,,,
10.3,-6.861414400000001,2500,,,,,,,,,,,,,,,,
8.1,-4.3140452,2600,,,,,,,,,,,,,,,,
8.4,-4.7379419,2700,,,,,,,,,,,,,,,,
10.8,-6.9492654,2800,,,,,,,,,,,,,,,,
6.9,-3.6296639000000006,2900,,,,,,,,,,,,,,,,
7.9,-4.346073299999999,3000,,,,,,,,,,,,,,,,
7.7,-3.8820729999999997,3100,,,,,,,,,,,,,,,,
8.3,-5.206168299999999,3200,,,,,,,,,,,,,,,,
7.8,-5.1854259,3300,,,,,,,,,,,,,,,,
11.6,-8.1148727,3400,,,,,,,,,,,,,,,,
6.5,-3.3440139,3500,,,,,,,,,,,,,,,,
12.8,-9.4180711,3600,,,,,,,,,,,,,,,,
