#{"t_start": 1734957857.7099514, "env_id": "GraspEnv_v3"}
r,l,t
-6.467428,12,1.986754
-0.983304,3,1.992913
-2.809806,6,2.006587
-9.291484,14,2.033757
-3.719214,9,2.051693
-9.217333,14,2.080676
-8.130652,14,2.108589
-10.31358,14,2.136548
-10.882954,14,2.168555
0.983747,1,2.173555
-11.152976,14,2.26534
-6.576255,10,2.2843
-1.797548,6,2.29842
-9.995013,14,2.323604
-8.986683,14,2.347583
-4.360729,11,2.366603
-0.248636,3,2.373633
-8.62095,13,2.396675
0.924958,1,2.39967
0.864001,1,2.402679
0.894787,1,2.461318
2.194998,3,2.46832
0.882209,1,2.472321
-0.02283,2,2.477314
0.998089,1,2.481318
-5.34186,11,2.505378
-9.075008,14,2.534016
0.247731,2,2.542006
-5.916814,10,2.564012
-5.984199,9,2.582998
0.908109,1,2.637296
-6.269023,14,2.666294
-7.274503,14,2.692311
-8.394466,14,2.718764
-8.991923,14,2.745797
-7.513877,14,2.775813
-10.908781,14,2.801827
-6.694633,13,2.827457
-3.738364,7,2.84046
-0.932605,2,2.846485
-8.523982,14,2.924146
-1.988071,5,2.934147
-12.446448,14,2.960144
0.597809,2,2.96515
-1.225659,3,2.971138
0.571866,2,2.976151
-0.834345,7,2.990146
-13.558573,14,3.018867
0.952898,1,3.021866
-11.426684,14,3.049874
-2.010178,5,3.107937
-10.968987,14,3.13536
-2.619621,5,3.14636
-0.792568,2,3.15136
0.953234,1,3.15436
-6.526487,14,3.180348
-3.291223,5,3.192395
-12.581731,14,3.220024
-3.804944,5,3.231025
-2.444694,5,3.241022
-7.608047,14,3.315314
-13.308925,14,3.340311
1.274211,3,3.347347
-13.880172,14,3.373314
-12.134094,14,3.399408
0.978294,1,3.402425
-11.002564,14,3.429044
-7.429768,14,3.454044
0.097617,3,3.462044
-2.142778,5,3.47207
-4.61711,9,3.535781
0.379033,2,3.5408
-11.925887,14,3.56581
-0.660887,4,3.574762
-2.435903,5,3.585797
0.712394,2,3.590762
-10.73509,14,3.615082
-0.678431,7,3.627088
0.922266,1,3.630093
0.620619,2,3.634082
-2.812259,5,3.685086
-8.618249,14,3.71324
-9.92575,14,3.738249
-2.084932,5,3.748251
-9.43907,14,3.772245
0.330223,2,3.777251
-8.980034,14,3.802382
0.830967,1,3.805378
-2.392591,7,3.818521
0.264615,3,3.824481
-9.857328,12,3.896527
-0.412123,5,3.90753
-10.672943,14,3.932625
-8.321205,14,3.959632
-0.819491,5,3.969625
-11.6054,14,3.994625
-3.568831,7,4.007699
-7.994002,14,4.035315
-3.229607,6,4.047326
-0.985655,2,4.05229
-10.343009,14,4.125177
-1.124508,4,4.133169
-5.878425,14,4.160206
-9.257349,14,4.185185
-3.410081,7,4.199207
-13.051418,14,4.225445
-13.664189,14,4.251433
-1.116196,2,4.256446
-1.463252,3,4.262463
-2.224589,7,4.276458
-9.44998,14,4.346169
-5.612412,11,4.367175
-0.178018,1,4.369171
-8.218816,14,4.396157
-9.892637,14,4.420905
0.988002,1,4.423887
-0.040035,3,4.43089
-1.868105,5,4.439876
-3.132468,5,4.450878
-0.299334,3,4.456876
0.905238,1,4.498944
-4.079831,8,4.516156
-12.185786,14,4.541125
-1.381025,4,4.549147
-12.556226,14,4.573121
0.18261,2,4.579122
0.918299,1,4.582153
-12.394735,14,4.608176
-3.026609,10,4.628279
-10.085435,14,4.653268
-0.584453,3,4.707356
-10.242158,14,4.735565
-9.078655,14,4.765551
-1.617963,6,4.778545
-10.437254,14,4.804609
-6.663349,11,4.828812
-1.762335,5,4.840809
-1.33232,5,4.851818
-9.528885,14,4.88282
-11.35465,14,4.911902
-9.034363,14,4.982575
-9.12914,14,5.010657
-7.004619,14,5.039266
-11.350643,14,5.06828
-10.435723,14,5.096273
-10.067889,14,5.127016
-0.945246,2,5.132987
-2.37866,5,5.147023
-8.950632,14,5.176988
0.935452,1,5.181012
-3.109499,6,5.238673
-10.616353,14,5.266677
-10.049503,14,5.293673
0.133427,2,5.298678
-0.949225,4,5.306759
-2.996728,10,5.325948
-0.848722,2,5.331964
-11.288297,14,5.360973
-0.110366,3,5.367999
-9.914911,14,5.396956
-7.265574,14,5.46828
-8.57844,14,5.493281
-7.581363,14,5.519498
-6.857755,12,5.544529
0.922102,1,5.547493
-4.563999,7,5.562497
-9.563241,14,5.591486
-1.466097,5,5.603562
-1.2577,4,5.612561
-10.410564,14,5.638717
0.715451,2,5.684703
-5.473631,9,5.70585
-0.069095,2,5.710814
-4.207692,8,5.72559
0.053973,3,5.731608
0.958389,1,5.734618
-13.33407,14,5.759653
-11.496632,14,5.785652
-13.1238,14,5.812766
0.848351,1,5.815495
-7.431943,14,5.887596
-8.348349,14,5.917294
0.208985,2,5.922283
-1.152349,3,5.929277
-7.058268,14,5.9593
-12.878325,14,5.9893
-12.817873,14,6.016571
-3.380061,10,6.04057
-4.779273,9,6.059576
-8.86074,14,6.088611
0.346972,2,6.137881
-11.317264,14,6.165885
-12.617775,14,6.191854
-11.5502,14,6.219036
0.403082,2,6.224046
0.825047,1,6.22701
-9.122075,14,6.255014
-12.937552,14,6.281049
-11.296913,14,6.305073
-5.120506,10,6.323199
-1.618402,4,6.371204
-2.8721,5,6.384202
0.821256,1,6.388196
-9.660161,14,6.415241
-8.239544,14,6.441886
-9.447706,13,6.465875
0.430692,2,6.470906
-5.317048,13,6.514936
-3.56702,9,6.549583
-10.893781,14,6.584595
-3.339959,7,6.660309
-11.543067,14,6.690321
-8.239163,14,6.71813
-0.926146,6,6.732123
-2.094186,5,6.748122
-3.991009,10,6.766126
0.902422,1,6.769115
-3.813543,7,6.783114
-13.333476,14,6.817237
-2.310397,6,6.832427
-1.550176,4,6.894414
-7.755843,11,6.916483
-7.200338,14,6.946156
-0.178568,1,6.949136
-9.56658,14,6.976136
-1.071929,2,6.982136
-4.192631,14,7.017753
-10.227466,14,7.045804
-6.97212,12,7.069805
-2.296862,5,7.079803
-5.042228,8,7.148545
-9.411432,14,7.178549
