time/episodes,time/time_elapsed,time/fps,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
4,0,1654,43,,
8,0,2075,83,,
,,,100,10.1,-6.083200799999999
12,0,286,113,,
16,0,362,147,,
20,0,444,186,,
,,,200,8.7,-4.9949831
24,0,358,219,,
28,0,408,257,,
32,0,455,292,,
,,,300,5.4,-2.1122897
36,0,402,318,,
40,0,445,359,,
44,0,480,393,,
,,,400,10.7,-5.9810066
48,1,397,415,,
52,1,414,437,,
56,1,441,473,,
,,,500,7.6,-4.788118900000001
60,1,406,505,,
64,1,422,531,,
68,1,449,571,,
72,1,462,592,,
,,,600,7.0,-4.4087198999999995
76,1,425,612,,
80,1,446,647,,
84,1,467,683,,
88,1,473,697,,
,,,700,9.6,-6.5156226
92,1,440,739,,
96,1,451,762,,
100,1,462,785,,
,,,800,6.0,-2.8418996
104,1,452,830,,
108,1,472,876,,
,,,900,7.9,-4.282708
112,2,448,904,,
116,2,466,950,,
120,2,471,962,,
124,2,484,995,,
,,,1000,9.3,-5.746658500000001
128,2,451,1016,,
132,2,460,1042,,
136,2,474,1082,,
,,,1100,9.3,-6.1533016
140,2,448,1109,,
144,2,459,1142,,
148,2,470,1173,,
,,,1200,7.1,-3.7703803000000007
152,2,454,1205,,
156,2,461,1227,,
160,2,473,1266,,
,,,1300,8.2,-5.37035
164,2,463,1322,,
168,2,467,1336,,
172,2,473,1361,,
176,2,479,1382,,
,,,1400,10.0,-6.2602022
180,3,458,1429,,
184,3,469,1469,,
188,3,475,1491,,
,,,1500,10.6,-6.8361463
192,3,447,1512,,
196,3,455,1546,,
200,3,460,1569,,
,,,1600,8.3,-4.9750177
204,3,448,1610,,
208,3,454,1638,,
212,3,456,1648,,
216,3,462,1675,,
,,,1700,9.9,-5.6622631000000005
220,3,445,1706,,
224,3,452,1741,,
228,3,461,1781,,
,,,1800,6.8,-4.5128756
232,4,451,1809,,
236,4,456,1836,,
240,4,466,1883,,
,,,1900,10.8,-6.649819600000001
244,4,447,1918,,
248,4,453,1951,,
252,4,455,1963,,
,,,2000,9.9,-7.238718400000001
256,4,443,2001,,
260,4,451,2047,,
264,4,458,2085,,
,,,2100,8.9,-5.036381400000001
268,4,443,2125,,
272,4,444,2136,,
276,4,450,2173,,
,,,2200,8.4,-4.8688524
280,5,438,2204,,
284,5,440,2221,,
288,5,444,2243,,
292,5,449,2276,,
,,,2300,9.1,-5.1012512999999995
296,5,436,2300,,
300,5,442,2338,,
304,5,444,2354,,
308,5,447,2373,,
312,5,451,2399,,
,,,2400,8.6,-5.5789068
316,5,442,2437,,
320,5,445,2459,,
324,5,452,2499,,
,,,2500,9.4,-5.772184900000001
328,5,442,2539,,
332,5,445,2557,,
336,5,449,2588,,
,,,2600,10.0,-6.1268788999999995
340,5,438,2615,,
344,5,443,2647,,
348,5,446,2675,,
352,5,449,2697,,
,,,2700,11.5,-8.7728492
356,6,436,2718,,
360,6,443,2771,,
,,,2800,6.9,-3.6833541
364,6,438,2802,,
368,6,440,2825,,
372,6,446,2866,,
376,6,450,2896,,
,,,2900,11.8,-6.9439678
380,6,437,2928,,
384,6,441,2966,,
388,6,444,2988,,
,,,3000,10.2,-5.252056
392,6,433,3011,,
396,6,438,3052,,
400,6,440,3074,,
,,,3100,9.3,-5.8391155999999995
404,7,430,3100,,
408,7,433,3128,,
412,7,436,3154,,
416,7,438,3171,,
,,,3200,9.3,-6.429152500000001
420,7,430,3205,,
424,7,432,3222,,
428,7,436,3255,,
,,,3300,7.5,-4.4453336
432,7,433,3307,,
436,7,435,3328,,
440,7,437,3349,,
444,7,441,3384,,
448,7,442,3394,,
,,,3400,10.3,-6.2485365999999996
452,7,436,3440,,
456,7,439,3466,,
460,7,442,3499,,
,,,3500,7.4,-3.9347723
464,8,436,3519,,
468,8,440,3563,,
472,8,443,3593,,
,,,3600,11.5,-7.910372300000001
476,8,434,3638,,
480,8,438,3672,,
,,,3700,11.0,-7.255079500000001
484,8,429,3712,,
488,8,432,3740,,
492,8,433,3753,,
496,8,434,3769,,
,,,3800,11.0,-6.5691153
500,8,426,3802,,
504,8,428,3824,,
508,8,432,3867,,
512,8,435,3896,,
