time/total_timesteps,time/fps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
25,2842,4,0,,,,,,,,
37,2592,8,0,,,,,,,,
59,2871,12,0,,,,,,,,
77,2935,16,0,,,,,,,,
94,2960,20,0,,,,,,,,
100,,,,-5.530931799999999,8.2,,,,,,
116,885,24,0,,,,,,,,
145,1049,28,0,,,,,,,,
156,1091,32,0,,,,,,,,
177,1188,36,0,,,,,,,,
195,1262,40,0,,,,,,,,
200,,,,-3.9715723000000005,5.8,,,,,,
221,1143,44,0,,,,,,,,
244,1223,48,0,,,,,,,,
271,1314,52,0,,,,,,,,
294,1384,56,0,,,,,,,,
300,,,,-4.7281911,7.4,,,,,,
327,1292,60,0,,,,,,,,
355,1366,64,0,,,,,,,,
375,1411,68,0,,,,,,,,
400,,,,-3.8821399000000008,6.8,,,,,,
402,1309,72,0,,,,,,,,
435,1383,76,0,,,,,,,,
457,1420,80,0,,,,,,,,
482,1468,84,0,,,,,,,,
500,,,,-3.1504564000000004,6.6,,,,,,
516,1395,88,0,,,,,,,,
545,1446,92,0,,,,,,,,
569,1484,96,0,,,,,,,,
597,1531,100,0,,,,,,,,
600,,,,-2.8324253,7.4,,,,,,
633,1453,104,0,,,,,,,,
658,1489,108,0,,,,,,,,
673,1505,112,0,,,,,,,,
697,1537,116,0,,,,,,,,
700,,,,-3.9805287,6.6,,,,,,
720,1468,120,0,,,,,,,,
747,1503,124,0,,,,,,,,
776,1540,128,0,,,,,,,,
796,1562,132,0,,,,,,,,
800,,,,-4.0913482000000005,7.7,,,,,,
819,1489,136,0,,,,,,,,
843,1515,140,0,,,,,,,,
873,1549,144,0,,,,,,,,
892,1567,148,0,,,,,,,,
900,,,,-5.0801807,7.6,,,,,,
923,1511,152,0,,,,,,,,
947,1534,156,0,,,,,,,,
976,1564,160,0,,,,,,,,
1000,,,,-5.5220021,9.0,,,,,,
1005,1501,164,0,,,,,,,,
1033,1527,168,0,,,,,,,,
1062,1554,172,0,,,,,,,,
1074,1561,176,0,,,,,,,,
1096,1579,180,0,,,,,,,,
1100,,,,-4.750849400000001,8.2,,,,,,
1125,1527,184,0,,,,,,,,
1138,1534,188,0,,,,,,,,
1167,1558,192,0,,,,,,,,
1193,1579,196,0,,,,,,,,
1200,,,,-4.6598281,7.7,,,,,,
1226,1538,200,0,,,,,,,,
1242,1548,204,0,,,,,,,,
1262,1562,208,0,,,,,,,,
1291,1584,212,0,,,,,,,,
1300,,,,-4.1501235,7.0,,,,,,
1324,1550,216,0,,,,,,,,
1353,1571,220,0,,,,,,,,
1378,1588,224,0,,,,,,,,
1400,,,,-3.125456,5.9,,,,,,
1411,1561,228,0,,,,,,,,
1439,1580,232,0,,,,,,,,
1467,1599,236,0,,,,,,,,
1493,1616,240,0,,,,,,,,
1500,,,,-5.6064381999999995,8.2,,,,,,
1515,1570,244,0,,,,,,,,
1535,1581,248,0,,,,,,,,
1557,1594,252,0,,,,,,,,
1573,1601,256,0,,,,,,,,
1600,,,,-5.9660846,9.0,,,,,,
1601,1559,260,1,,,,,,,,
1617,1566,264,1,,,,,,,,
1646,1583,268,1,,,,,,,,
1682,1606,272,1,,,,,,,,
1700,,,,-4.293576,7.7,,,,,,
1717,1576,276,1,,,,,,,,
1746,1592,280,1,,,,,,,,
1767,1603,284,1,,,,,,,,
1800,,,,-3.5221089,6.3,,,,,,
1800,1579,288,1,,,,,,,,
1829,1595,292,1,,,,,,,,
1844,1601,296,1,,,,,,,,
1871,1615,300,1,,,,,,,,
1900,,,,-4.816345500000001,7.6,,,,,,
1903,1585,304,1,,,,,,,,
1921,1593,308,1,,,,,,,,
1935,1597,312,1,,,,,,,,
1949,1602,316,1,,,,,,,,
1981,1619,320,1,,,,,,,,
1998,1625,324,1,,,,,,,,
2000,,,,-4.5105807,9.0,,,,,,
2029,1591,328,1,,,,,,,,
2063,1608,332,1,,,,,,,,
2085,1618,336,1,,,,,,,,
2091,1617,340,1,,,,,,,,
2100,,,,-5.7114502,8.2,,,,,,
2121,1588,344,1,,,,,,,,
2143,1597,348,1,,,,,,,,
2156,1601,352,1,,,,,,,,
2183,1613,356,1,,,,,,,,
2200,,,,-4.087592299999999,7.2,,,,,,
2210,1586,360,1,,,,,,,,
2239,1599,364,1,,,,,,,,
2258,1605,368,1,,,,,,,,
2280,1614,372,1,,,,,,,,
2300,,,,-4.5544994,8.2,,,,,,
2308,1586,376,1,,,,,,,,
2336,1598,380,1,,,,,,,,
2369,1612,384,1,,,,,,,,
2399,1624,388,1,,,,,,,,
2400,,,,-5.7329934,7.4,,,,,,
2424,1598,392,1,,,,,,,,
2443,1605,396,1,,,,,,,,
2477,1619,400,1,,,,,,,,
2500,,,,-6.4260176,8.2,,,,,,
2504,1592,404,1,,,,,,,,
2532,1603,408,1,,,,,,,,
2559,1613,412,1,,,,,,,,
2580,1620,416,1,,,,,,,,
2600,,,,-4.5244200999999995,7.6,,,,,,
2614,1600,420,1,,,,,,,,
2636,1607,424,1,,,,,,,,
2660,1615,428,1,,,,,,,,
2691,1627,432,1,,,,,,,,
2700,,,,-5.3240192,9.0,,,,,,
2717,1599,436,1,,,,,,,,
2732,1603,440,1,,,,,,,,
2756,1611,444,1,,,,,,,,
2786,1622,448,1,,,,,,,,
2800,,,,-4.7574617,7.7,,,,,,
2815,1602,452,1,,,,,,,,
2848,1614,456,1,,,,,,,,
2874,1622,460,1,,,,,,,,
2900,,,,-4.2508606,7.0,,,,,,
2903,1603,464,1,,,,,,,,
2926,1611,468,1,,,,,,,,
2942,1615,472,1,,,,,,,,
2959,1619,476,1,,,,,,,,
2995,1632,480,1,,,,,,,,
3000,,,,-5.3739243,8.2,,,,,,
3026,1611,484,1,,,,,,,,
3040,1614,488,1,,,,,,,,
3068,1623,492,1,,,,,,,,
3089,1629,496,1,,,,,,,,
3100,,,,-6.4641823,8.2,,,,,,
3125,1611,500,1,,,,,,,,
3153,1620,504,1,,,,,,,,
3180,1628,508,1,,,,,,,,
3200,,,,-3.595169400000001,5.8,,,,,,
3204,1612,512,1,,,,,,,,
3217,1614,516,1,,,,,,,,
3241,1621,520,1,,,,,,,,
3269,1630,524,2,,,,,,,,
3298,1638,528,2,,,,,,,,
3300,,,,-5.4050910000000005,8.2,,,,,,
3321,1616,532,2,,,,,,,,
3342,1622,536,2,,,,,,,,
3364,1627,540,2,,,,,,,,
3393,1636,544,2,,,,,,,,
3400,,,,-5.1265463,8.2,,,,,,
3416,1614,548,2,,,,,,,,
3438,1620,552,2,,,,,,,,
3472,1630,556,2,,,,,,,,
3500,,,,-4.4164859000000005,7.0,,,,,,
3501,1614,560,2,,,,,,,,
3512,1616,564,2,,,,,,,,
3541,1624,568,2,,,,,,,,
3569,1632,572,2,,,,,,,,
3600,,,,-5.644012399999999,7.4,,,,,,
3602,1617,576,2,,,,,,,,
3630,1624,580,2,,,,,,,,
3666,1635,584,2,,,,,,,,
3694,1642,588,2,,,,,,,,
3700,,,,-6.710028599999999,9.0,,,,,,
3724,1623,592,2,,,,,,,,
3742,1627,596,2,,,,,,,,
3767,1633,600,2,,,,,,,,
3780,1635,604,2,,,,,,,,
3796,1638,608,2,,,,,,,,
3800,,,,-4.786727700000001,7.5,,,,,,
3824,1622,612,2,,,,,,,,
3850,1628,616,2,,,,,,,,
3874,1634,620,2,,,,,,,,
