time/fps,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
2003,30,4,0,,
2377,76,8,0,,
,100,,,-3.839886,6.7
343,110,12,0,,
419,139,16,0,,
529,185,20,0,,
,200,,,-7.2975048000000005,10.9
378,216,24,0,,
437,255,28,0,,
497,299,32,0,,
,300,,,-6.4042883,9.3
401,325,36,0,,
447,369,40,0,,
461,385,44,0,,
,400,,,-3.3594371,6.8
418,417,48,0,,
429,431,52,1,,
456,465,56,1,,
480,495,60,1,,
,500,,,-8.1832653,11.1
419,529,64,1,,
426,541,68,1,,
441,565,72,1,,
461,596,76,1,,
,600,,,-4.1773383,8.9
424,630,80,1,,
437,654,84,1,,
450,678,88,1,,
,700,,,-5.932521899999999,9.2
416,713,92,1,,
438,756,96,1,,
453,787,100,1,,
,800,,,-7.731987599999999,10.4
422,838,104,1,,
430,862,108,2,,
436,877,112,2,,
,900,,,-5.5911938,8.7
408,908,116,2,,
420,940,120,2,,
432,974,124,2,,
439,992,128,2,,
,1000,,,-4.5307394,8.9
421,1039,132,2,,
430,1067,136,2,,
439,1094,140,2,,
,1100,,,-5.9819003,8.8
419,1126,144,2,,
430,1162,148,2,,
,1200,,,-5.8536675,9.0
417,1204,152,2,,
429,1243,156,2,,
435,1266,160,2,,
435,1272,164,2,,
,1300,,,-5.194925899999999,9.1
417,1307,168,3,,
426,1340,172,3,,
435,1375,176,3,,
438,1386,180,3,,
,1400,,,-3.546819899999999,8.0
418,1405,184,3,,
419,1414,188,3,,
424,1434,192,3,,
434,1474,196,3,,
,1500,,,0.1421058,4.6
427,1500,200,3,,
436,1538,204,3,,
445,1578,208,3,,
,1600,,,-6.527186299999999,10.1
427,1608,212,3,,
435,1646,216,3,,
441,1674,220,3,,
,1700,,,-5.200542400000001,9.1
429,1717,224,3,,
433,1738,228,4,,
440,1768,232,4,,
,1800,,,-6.2978515,10.9
425,1803,236,4,,
433,1841,240,4,,
437,1864,244,4,,
443,1893,248,4,,
,1900,,,-7.0181603,9.4
428,1924,252,4,,
432,1946,256,4,,
435,1965,260,4,,
437,1980,264,4,,
,2000,,,-7.3335516,11.8
421,2012,268,4,,
424,2032,272,4,,
431,2072,276,4,,
,2100,,,-6.3477337,9.7
423,2121,280,5,,
425,2134,284,5,,
434,2183,288,5,,
,2200,,,-11.1134734,14.0
415,2212,292,5,,
424,2265,296,5,,
426,2282,300,5,,
,2300,,,-4.600341500000001,8.3
416,2306,304,5,,
420,2334,308,5,,
425,2364,312,5,,
426,2374,316,5,,
429,2394,320,5,,
,2400,,,-3.9408684999999997,6.4
424,2435,324,5,,
432,2491,328,5,,
,2500,,,-4.3527945,8.1
424,2522,332,5,,
428,2552,336,5,,
434,2590,340,5,,
,2600,,,-6.5338172,10.6
424,2624,344,6,,
429,2664,348,6,,
434,2699,352,6,,
,2700,,,-7.3739268,9.3
428,2742,356,6,,
431,2765,360,6,,
,2800,,,-4.252802,8.1
425,2806,364,6,,
428,2833,368,6,,
434,2877,372,6,,
,2900,,,-3.9066092999999995,6.6
428,2903,376,6,,
429,2910,380,6,,
436,2963,384,6,,
439,2989,388,6,,
,3000,,,-5.7883479,10.0
432,3036,392,7,,
435,3066,396,7,,
,3100,,,-5.3251031,8.9
429,3112,400,7,,
432,3135,404,7,,
435,3167,408,7,,
,3200,,,-3.4409469,7.3
433,3221,412,7,,
434,3229,416,7,,
437,3262,420,7,,
439,3276,424,7,,
,3300,,,-4.053952300000001,7.5
434,3310,428,7,,
436,3334,432,7,,
440,3368,436,7,,
443,3393,440,7,,
,3400,,,-4.9098834,8.4
435,3414,444,7,,
436,3429,448,7,,
441,3470,452,7,,
443,3491,456,7,,
,3500,,,-3.1945235,6.9
439,3529,460,8,,
443,3573,464,8,,
,3600,,,-2.2702592000000004,5.3
440,3607,468,8,,
444,3641,472,8,,
446,3666,476,8,,
,3700,,,-5.2806144,9.0
