time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss
4,0,25,1906,,,,,,,,
8,0,57,2396,,,,,,,,
12,0,95,2730,,,,,,,,
,,100,,10.6,-6.008176000000001,,,,,,
16,0,109,323,,,,,,,,
20,0,146,419,,,,,,,,
24,0,172,481,,,,,,,,
,,200,,8.2,-3.4980802000000004,,,,,,
28,0,204,390,,,,,,,,
32,0,214,404,,,,,,,,
36,0,242,448,,,,,,,,
40,0,264,481,,,,,,,,
44,0,283,508,,,,,,,,
,,300,,6.5,-3.3110559999999998,,,,,,
48,0,319,456,,,,,,,,
52,0,363,508,,,,,,,,
56,0,397,547,,,,,,,,
,,400,,6.6,-3.2236475999999996,,,,,,
60,0,435,492,,,,,,,,
64,0,457,512,,,,,,,,
68,0,480,532,,,,,,,,
,,500,,5.9,-3.1465326,,,,,,
72,1,528,501,,,,,,,,
76,1,563,528,,,,,,,,
80,1,584,543,,,,,,,,
,,600,,9.5,-6.4352841,,,,,,
84,1,639,502,,,,,,,,
88,1,682,530,,,,,,,,
,,700,,9.0,-5.6715821,,,,,,
92,1,706,481,,,,,,,,
96,1,732,496,,,,,,,,
100,1,764,513,,,,,,,,
104,1,791,528,,,,,,,,
,,800,,9.7,-5.028733699999999,,,,,,
108,1,812,483,,,,,,,,
112,1,843,498,,,,,,,,
116,1,896,525,,,,,,,,
,,900,,7.2,-3.5867668000000004,,,,,,
120,1,943,506,,,,,,,,
124,1,952,508,,,,,,,,
128,1,986,524,,,,,,,,
,,1000,,11.5,-9.052712,,,,,,
132,2,1017,485,,,,,,,,
136,2,1059,502,,,,,,,,
140,2,1076,508,,,,,,,,
,,1100,,7.4,-4.461861799999999,,,,,,
144,2,1106,486,,,,,,,,
148,2,1114,488,,,,,,,,
152,2,1155,504,,,,,,,,
156,2,1186,515,,,,,,,,
,,1200,,11.3,-7.366910299999999,,,,,,
160,2,1210,478,,,,,,,,
164,2,1243,489,,,,,,,,
168,2,1266,496,,,,,,,,
172,2,1290,504,,,,,,,,
,,1300,,8.2,-5.3525127,,,,,,
