#{"t_start": 1735015677.8548002, "env_id": "GraspEnv_v3"}
r,l,t
-8.983142,9,2.354933
-6.102314,9,2.365902
-7.349354,9,2.372932
-6.580255,9,2.379952
-8.973715,9,2.386943
-8.64335,9,2.395114
-5.715191,9,2.40279
-8.468265,9,2.408961
-6.892716,9,2.415891
-6.297561,9,2.422937
-6.38069,9,2.493062
0.907982,1,2.495054
-0.738291,3,2.499051
-8.051198,9,2.506736
-8.962421,9,2.515737
-7.242059,9,2.523737
-6.582526,9,2.530756
-0.019115,5,2.534762
-6.318448,9,2.543742
-8.976609,9,2.550755
-8.504394,9,2.608441
-7.062839,9,2.620438
0.289153,3,2.625453
-6.443084,9,2.63345
0.811537,1,2.635447
-2.967763,9,2.643515
0.944601,1,2.645518
-8.677886,9,2.652525
-3.203983,9,2.659529
0.910093,1,2.661516
-8.381772,9,2.717455
-5.643841,9,2.726459
-2.216519,9,2.734465
-7.062256,9,2.741462
-5.639595,9,2.750455
0.897938,1,2.752455
-8.422096,9,2.761458
-2.430071,9,2.769456
-7.520246,9,2.776495
-7.736434,9,2.783455
-3.637932,9,2.8364
-5.655019,9,2.844427
0.910835,1,2.847398
-8.868085,9,2.854394
-8.893957,9,2.863419
-8.259746,9,2.871415
-4.666201,9,2.878399
-7.792747,9,2.88641
-5.084178,9,2.893543
-8.69352,9,2.901543
-6.753576,9,2.956389
-4.072745,9,2.964352
-4.419954,9,2.972361
-3.532054,9,2.979359
-8.911917,9,2.986374
-4.72152,9,2.995524
-1.822573,9,3.002495
-6.351988,9,3.009304
-7.028366,9,3.017315
-5.50152,9,3.024312
-5.664179,9,3.081266
-6.152511,9,3.090473
-1.360296,5,3.096473
-5.167015,9,3.104272
-8.012094,9,3.112209
-4.699236,9,3.119209
-7.535209,9,3.127232
-7.673685,9,3.134309
-7.075136,9,3.140313
-7.986129,9,3.147271
-8.828031,9,3.207135
0.587812,2,3.210142
-5.900298,9,3.219134
-3.019068,9,3.226137
-4.80388,9,3.233136
-6.912862,9,3.241135
-7.017923,9,3.247129
0.997281,1,3.249135
-8.913264,9,3.258135
-7.822488,9,3.267122
-7.545537,9,3.320941
-5.993357,9,3.328937
-8.859985,9,3.337934
-7.124418,9,3.345942
-2.603856,9,3.35294
-8.550177,9,3.359947
-1.816265,9,3.367952
-5.10715,9,3.37495
-8.493636,9,3.384942
-5.98175,9,3.393144
-5.470585,9,3.442
-8.038195,9,3.449962
0.866705,1,3.451969
-7.734945,9,3.459881
-7.590586,9,3.467901
-8.912333,9,3.474895
0.830655,1,3.476911
-6.215752,9,3.483896
0.937812,1,3.485896
0.91781,1,3.486895
-3.899137,9,3.546579
-4.688337,9,3.553577
-6.07933,9,3.564589
-7.989657,9,3.57159
-6.187009,9,3.579586
-6.400965,9,3.587661
-3.770563,9,3.594797
0.90781,1,3.596805
-8.015916,9,3.603797
-5.163683,9,3.610605
-3.879008,9,3.660519
-0.53713,5,3.665532
-5.306469,9,3.672538
-4.621242,9,3.679527
-3.779231,9,3.687527
0.963481,1,3.689587
-8.844386,9,3.696663
-7.639551,9,3.703663
-6.50483,9,3.710444
-7.566162,9,3.717444
-2.912795,9,3.769375
-3.873058,9,3.777378
-8.6133,9,3.785357
0.882836,1,3.787374
-8.998067,9,3.795435
-8.824927,9,3.802509
-3.117863,9,3.812321
0.363792,3,3.815323
0.852749,1,3.817323
-7.022688,9,3.824326
-2.2997,9,3.878326
-7.720372,9,3.900334
-8.035836,9,3.916988
-5.885642,9,3.927023
-8.373967,9,3.936023
-6.587093,9,3.944988
-2.68817,9,3.957988
-8.511788,9,3.967019
-8.796087,9,3.973997
-6.573437,9,3.982001
-3.222611,9,4.039751
-3.418814,9,4.046714
-4.005208,9,4.054707
-8.809657,9,4.061707
-8.93158,9,4.068705
-8.359656,9,4.075704
-2.97035,9,4.081704
-5.217267,9,4.0887
-8.988097,9,4.095778
-8.212221,9,4.102778
-6.623539,9,4.154344
-3.27633,9,4.163352
0.962885,1,4.165347
0.415093,3,4.16935
-8.337012,9,4.17635
-8.176218,9,4.184341
0.931051,1,4.186347
-2.534906,6,4.190392
0.83857,1,4.192421
-7.643165,9,4.199408
-8.407099,9,4.261075
-3.883242,9,4.268073
-8.968083,9,4.279075
-1.971454,9,4.287066
-5.684136,9,4.294206
-5.03592,9,4.30121
-8.429232,9,4.309966
-8.77738,9,4.316978
-4.13814,9,4.32397
-8.816904,9,4.330929
-8.195521,9,4.384977
-7.411523,9,4.393119
-7.706096,9,4.400124
-4.659302,9,4.407659
-6.363701,9,4.41467
-6.209519,9,4.424689
0.887991,1,4.426668
-8.264167,9,4.433657
-8.549355,9,4.439652
-4.115901,9,4.447668
-2.118811,9,4.49887
-5.379753,9,4.5076
-3.298879,9,4.5156
