time/fps,time/total_timesteps,time/time_elapsed,time/episodes,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss
1916,23,0,4,,,,,,,,
2399,58,0,8,,,,,,,,
2389,84,0,12,,,,,,,,
,100,,,9.0,-7.4005863000000005,,,,,,
623,116,0,16,,,,,,,,
719,141,0,20,,,,,,,,
805,166,0,24,,,,,,,,
870,188,0,28,,,,,,,,
,200,,,7.2,-5.2363375,,,,,,
705,213,0,32,,,,,,,,
760,237,0,36,,,,,,,,
827,268,0,40,,,,,,,,
880,294,0,44,,,,,,,,
,300,,,6.0,-3.3904565,,,,,,
775,324,0,48,,,,,,,,
835,360,0,52,,,,,,,,
893,396,0,56,,,,,,,,
,400,,,8.2,-5.415489200000001,,,,,,
797,423,0,60,,,,,,,,
818,443,0,64,,,,,,,,
854,472,0,68,,,,,,,,
885,499,0,72,,,,,,,,
,500,,,8.2,-6.064055000000001,,,,,,
803,522,0,76,,,,,,,,
825,544,0,80,,,,,,,,
851,571,0,84,,,,,,,,
879,599,0,88,,,,,,,,
,600,,,9.0,-5.3116213,,,,,,
803,620,0,92,,,,,,,,
825,646,0,96,,,,,,,,
848,673,0,100,,,,,,,,
857,687,0,104,,,,,,,,
,700,,,8.6,-6.132548999999999,,,,,,
792,703,0,108,,,,,,,,
807,725,0,112,,,,,,,,
818,742,0,116,,,,,,,,
821,750,0,120,,,,,,,,
841,779,0,124,,,,,,,,
,800,,,7.5,-5.1632720999999995,,,,,,
798,804,1,128,,,,,,,,
815,830,1,132,,,,,,,,
831,856,1,136,,,,,,,,
844,877,1,140,,,,,,,,
,900,,,9.0,-6.2076131000000005,,,,,,
800,910,1,144,,,,,,,,
821,944,1,148,,,,,,,,
844,980,1,152,,,,,,,,
,1000,,,5.8,-4.0409413999999995,,,,,,
815,1001,1,156,,,,,,,,
822,1016,1,160,,,,,,,,
837,1045,1,164,,,,,,,,
850,1071,1,168,,,,,,,,
864,1098,1,172,,,,,,,,
,1100,,,8.2,-5.1286787,,,,,,
826,1123,1,176,,,,,,,,
838,1148,1,180,,,,,,,,
852,1176,1,184,,,,,,,,
,1200,,,7.8,-4.7714528,,,,,,
828,1211,1,188,,,,,,,,
833,1227,1,192,,,,,,,,
851,1263,1,196,,,,,,,,
864,1293,1,200,,,,,,,,
,1300,,,6.8,-4.126332100000001,,,,,,
838,1320,1,204,,,,,,,,
852,1352,1,208,,,,,,,,
864,1383,1,212,,,,,,,,
,1400,,,9.0,-6.5472092,,,,,,
815,1404,1,216,,,,,,,,
825,1431,1,220,,,,,,,,
828,1443,1,224,,,,,,,,
835,1463,1,228,,,,,,,,
842,1484,1,232,,,,,,,,
,1500,,,9.0,-6.213546099999999,,,,,,
818,1511,1,236,,,,,,,,
828,1539,1,240,,,,,,,,
833,1556,1,244,,,,,,,,
845,1588,1,248,,,,,,,,
,1600,,,5.7,-3.3443571,,,,,,
827,1616,1,252,,,,,,,,
833,1634,1,256,,,,,,,,
840,1655,1,260,,,,,,,,
848,1680,1,264,,,,,,,,
,1700,,,9.0,-6.411159,,,,,,
822,1704,2,268,,,,,,,,
831,1731,2,272,,,,,,,,
838,1754,2,276,,,,,,,,
844,1775,2,280,,,,,,,,
,1800,,,8.2,-6.0587094,,,,,,
823,1801,2,284,,,,,,,,
828,1821,2,288,,,,,,,,
840,1857,2,292,,,,,,,,
848,1884,2,296,,,,,,,,
,1900,,,9.0,-5.522801899999999,,,,,,
826,1911,2,300,,,,,,,,
837,1946,2,304,,,,,,,,
843,1968,2,308,,,,,,,,
847,1985,2,312,,,,,,,,
,2000,,,7.4,-5.2953259,,,,,,
827,2002,2,316,,,,,,,,
835,2033,2,320,,,,,,,,
843,2063,2,324,,,,,,,,
852,2096,2,328,,,,,,,,
,2100,,,9.0,-5.804893999999999,,,,,,
832,2117,2,332,,,,,,,,
836,2137,2,336,,,,,,,,
840,2154,2,340,,,,,,,,
848,2183,2,344,,,,,,,,
,2200,,,7.4,-5.151862199999999,,,,,,
834,2215,2,348,,,,,,,,
841,2243,2,352,,,,,,,,
847,2267,2,356,,,,,,,,
854,2295,2,360,,,,,,,,
,2300,,,7.4,-4.904901199999999,,,,,,
840,2323,2,364,,,,,,,,
847,2354,2,368,,,,,,,,
854,2385,2,372,,,,,,,,
,2400,,,6.2,-3.8306765,,,,,,
842,2410,2,376,,,,,,,,
848,2438,2,380,,,,,,,,
854,2465,2,384,,,,,,,,
860,2492,2,388,,,,,,,,
,2500,,,9.0,-6.1948133,,,,,,
841,2517,2,392,,,,,,,,
850,2553,3,396,,,,,,,,
857,2583,3,400,,,,,,,,
,2600,,,8.8,-5.778976200000001,,,,,,
843,2614,3,404,,,,,,,,
846,2632,3,408,,,,,,,,
851,2660,3,412,,,,,,,,
856,2681,3,416,,,,,,,,
,2700,,,9.0,-6.694124599999999,,,,,,
839,2703,3,420,,,,,,,,
844,2729,3,424,,,,,,,,
847,2746,3,428,,,,,,,,
850,2765,3,432,,,,,,,,
857,2797,3,436,,,,,,,,
,2800,,,9.0,-6.783727600000001,,,,,,
844,2830,3,440,,,,,,,,
850,2859,3,444,,,,,,,,
855,2887,3,448,,,,,,,,
,2900,,,8.2,-5.68602,,,,,,
841,2911,3,452,,,,,,,,
846,2939,3,456,,,,,,,,
849,2957,3,460,,,,,,,,
855,2987,3,464,,,,,,,,
,3000,,,8.2,-5.2061816,,,,,,
841,3012,3,468,,,,,,,,
848,3048,3,472,,,,,,,,
853,3076,3,476,,,,,,,,
,3100,,,7.2,-4.008645800000001,,,,,,
843,3106,3,480,,,,,,,,
846,3128,3,484,,,,,,,,
849,3146,3,488,,,,,,,,
853,3169,3,492,,,,,,,,
857,3192,3,496,,,,,,,,
,3200,,,5.8,-3.1828468999999995,,,,,,
847,3218,3,500,,,,,,,,
850,3237,3,504,,,,,,,,
855,3266,3,508,,,,,,,,
860,3294,3,512,,,,,,,,
,3300,,,9.0,-6.3452874999999995,,,,,,
847,3323,3,516,,,,,,,,
848,3337,3,520,,,,,,,,
854,3368,3,524,,,,,,,,
857,3390,3,528,,,,,,,,
,3400,,,7.9,-5.1957435,,,,,,
848,3425,4,532,,,,,,,,
852,3447,4,536,,,,,,,,
858,3483,4,540,,,,,,,,
,3500,,,6.9,-3.7588423,,,,,,
848,3507,4,544,,,,,,,,
850,3523,4,548,,,,,,,,
853,3545,4,552,,,,,,,,
857,3571,4,556,,,,,,,,
861,3596,4,560,,,,,,,,
,3600,,,9.0,-6.2412292,,,,,,
849,3625,4,564,,,,,,,,
852,3647,4,568,,,,,,,,
857,3679,4,572,,,,,,,,
859,3693,4,576,,,,,,,,
,3700,,,8.2,-5.7294898,,,,,,
847,3719,4,580,,,,,,,,
851,3743,4,584,,,,,,,,
855,3772,4,588,,,,,,,,
858,3795,4,592,,,,,,,,
,3800,,,8.2,-5.9016686,,,,,,
846,3813,4,596,,,,,,,,
850,3840,4,600,,,,,,,,
853,3861,4,604,,,,,,,,
855,3880,4,608,,,,,,,,
,3900,,,7.4,-4.4714673,,,,,,
846,3905,4,612,,,,,,,,
849,3927,4,616,,,,,,,,
853,3954,4,620,,,,,,,,
856,3976,4,624,,,,,,,,
,4000,,,7.4,-4.0400371999999996,,,,,,
848,4005,4,628,,,,,,,,
851,4028,4,632,,,,,,,,
854,4050,4,636,,,,,,,,
859,4084,4,640,,,,,,,,
861,4099,4,644,,,,,,,,
,4100,,,8.5,-5.047663699999999,,,,,,
852,4131,4,648,,,,,,,,
855,4154,4,652,,,,,,,,
858,4177,4,656,,,,,,,,
,4200,,,9.0,-4.9545737999999995,,,,,,
847,4201,4,660,,,,,,,,
851,4230,4,664,,,,,,,,
854,4253,4,668,,,,,,,,
855,4266,4,672,,,,,,,,
858,4293,4,676,,,,,,,,
,4300,,,8.3,-4.9049908,,,,,,
849,4321,5,680,,,,,,,,
853,4349,5,684,,,,,,,,
856,4373,5,688,,,,,,,,
,4400,,,8.2,-4.8207254,,,,,,
848,4402,5,692,,,,,,,,
851,4425,5,696,,,,,,,,
855,4459,5,700,,,,,,,,
858,4485,5,704,,,,,,,,
,4500,,,8.2,-4.933382999999999,,,,,,
850,4514,5,708,,,,,,,,
852,4533,5,712,,,,,,,,
855,4560,5,716,,,,,,,,
858,4581,5,720,,,,,,,,
,4600,,,6.5,-2.9958685999999997,,,,,,
849,4600,5,724,,,,,,,,
853,4627,5,728,,,,,,,,
855,4651,5,732,,,,,,,,
859,4684,5,736,,,,,,,,
,4700,,,6.8,-4.0939209000000005,,,,,,
852,4705,5,740,,,,,,,,
854,4721,5,744,,,,,,,,
857,4749,5,748,,,,,,,,
858,4764,5,752,,,,,,,,
,4800,,,8.0,-4.953547800000001,,,,,,
852,4800,5,756,,,,,,,,
855,4826,5,760,,,,,,,,
857,4846,5,764,,,,,,,,
860,4876,5,768,,,,,,,,
862,4898,5,772,,,,,,,,
,4900,,,8.2,-5.9155995,,,,,,
852,4912,5,776,,,,,,,,
854,4928,5,780,,,,,,,,
857,4956,5,784,,,,,,,,
860,4984,5,788,,,,,,,,
,5000,,,7.4,-5.213987299999999,,,,,,
853,5011,5,792,,,,,,,,
855,5031,5,796,,,,,,,,
858,5058,5,800,,,,,,,,
861,5082,5,804,,,,,,,,
861,5088,5,808,,,,,,,,
,5100,,,9.0,-7.220252499999999,,,,,,
852,5106,5,812,,,,,,,,
854,5131,6,816,,,,,,,,
856,5147,6,820,,,,,,,,
859,5179,6,824,,,,,,,,
,5200,,,8.4,-5.6989405,,,,,,
852,5206,6,828,,,,,,,,
854,5229,6,832,,,,,,,,
858,5259,6,836,,,,,,,,
859,5275,6,840,,,,,,,,
,5300,,,8.2,-6.4839354,,,,,,
853,5311,6,844,,,,,,,,
855,5333,6,848,,,,,,,,
856,5348,6,852,,,,,,,,
860,5382,6,856,,,,,,,,
,5400,,,7.7,-5.033801199999999,,,,,,
854,5418,6,860,,,,,,,,
856,5438,6,864,,,,,,,,
860,5474,6,868,,,,,,,,
862,5496,6,872,,,,,,,,
,5500,,,8.3,-4.8877006000000005,,,,,,
855,5519,6,876,,,,,,,,
858,5550,6,880,,,,,,,,
860,5575,6,884,,,,,,,,
863,5599,6,888,,,,,,,,
,5600,,,7.1,-3.9528686,,,,,,
856,5621,6,892,,,,,,,,
858,5644,6,896,,,,,,,,
862,5679,6,900,,,,,,,,
,5700,,,8.2,-5.5144972,,,,,,
855,5705,6,904,,,,,,,,
858,5733,6,908,,,,,,,,
861,5760,6,912,,,,,,,,
862,5781,6,916,,,,,,,,
864,5797,6,920,,,,,,,,
,5800,,,9.0,-6.903445100000001,,,,,,
857,5827,6,924,,,,,,,,
859,5852,6,928,,,,,,,,
862,5884,6,932,,,,,,,,
,5900,,,5.2,-3.3840405,,,,,,
859,5920,6,936,,,,,,,,
862,5947,6,940,,,,,,,,
864,5973,6,944,,,,,,,,
867,5998,6,948,,,,,,,,
